pathwayname,genelist,genecount
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"['RUNX1', 'CBFB', 'CR1', 'CTLA4', 'IFNG', 'IL2', 'IL2RA', 'NFATC2', 'TNFRSF18', 'FOXP3']",10
RUNX1 regulates transcription of genes involved in BCR signaling,"['BLK', 'RUNX1', 'CBFB', 'ELF1', 'ELF2', 'PAX5']",6
RUNX1 regulates transcription of genes involved in interleukin signaling,"['RUNX1', 'CBFB', 'ELF1', 'IL3', 'LIFR']",5
RUNX1 regulates estrogen receptor mediated transcription,"['RUNX1', 'CBFB', 'ESR1', 'AXIN1', 'GPAM', 'KCTD6']",6
RUNX1 regulates transcription of genes involved in WNT signaling,"['RUNX1', 'CBFB', 'AXIN1', 'FOXP3', 'RSPO3']",5
RUNX1 regulates expression of components of tight junctions,"['RUNX1', 'CBFB', 'TJP1', 'CLDN5', 'OCLN']",5
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,"['RUNX1', 'CBFB', 'CTSK', 'SERPINB13', 'SOCS3', 'SOCS4']",6
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,"['RUNX1', 'CBFB', 'EP300', 'SMARCB1', 'SMARCC1', 'SMARCC2', 'AUTS2', 'HIPK2', 'PCGF5', 'COMMD3-BMI1']",10
Transcriptional regulation by RUNX2,"['ABL1', 'AR', 'NKX3-2', 'BAX', 'CCND1', 'BGLAP', 'BMP2', 'RUNX1', 'CBFB', 'CCNB1', 'CDK1', 'CDK4', 'CDKN1A', 'COL1A1', 'ESR1', 'ESRRA', 'GLI2', 'GLI3', 'NR3C1', 'GSK3B', 'IHH', 'ITGA5', 'LGALS3', 'SMAD1', 'SMAD4', 'SMAD6', 'MAF', 'MMP13', 'MSX2', 'MAPK1', 'MAPK3', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'RB1', 'SKP1', 'SKP2', 'SOX9', 'STAT1', 'TWIST1', 'SEM1', 'CUL1', 'PPM1D', 'HDAC3', 'ITGBL1', 'HAND2', 'PSMF1', 'HDAC4', 'PSMD6', 'RBX1', 'HDAC6', 'PSME3', 'PSMD14', 'STUB1', 'YAP1', 'PPARGC1A', 'WWP1', 'PSME4', 'SATB2', 'ZNF521', 'WWTR1', 'SMURF1', 'HIVEP3', 'SP7', 'PSMB11', 'PPARGC1B', 'PSMA8', 'UCMA', 'RBM14-RBM4']",103
Regulation of RUNX2 expression and activity,"['NKX3-2', 'BMP2', 'CBFB', 'ESR1', 'ESRRA', 'NR3C1', 'GSK3B', 'MSX2', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'SKP1', 'SKP2', 'STAT1', 'TWIST1', 'SEM1', 'CUL1', 'PSMF1', 'PSMD6', 'RBX1', 'PSME3', 'PSMD14', 'STUB1', 'PPARGC1A', 'WWP1', 'PSME4', 'SMURF1', 'HIVEP3', 'PSMB11', 'PPARGC1B', 'PSMA8']",65
RUNX2 regulates bone development,"['ABL1', 'AR', 'BGLAP', 'CBFB', 'COL1A1', 'GLI2', 'GLI3', 'IHH', 'SMAD1', 'SMAD4', 'SMAD6', 'MAF', 'MAPK1', 'MAPK3', 'RB1', 'HDAC3', 'HDAC4', 'HDAC6', 'YAP1', 'SATB2', 'ZNF521', 'WWTR1', 'SP7', 'UCMA', 'RBM14-RBM4']",25
RUNX2 regulates osteoblast differentiation,"['ABL1', 'AR', 'BGLAP', 'CBFB', 'COL1A1', 'GLI3', 'MAF', 'MAPK1', 'MAPK3', 'RB1', 'HDAC3', 'HDAC6', 'YAP1', 'SATB2', 'ZNF521', 'WWTR1', 'SP7', 'UCMA']",18
RUNX2 regulates chondrocyte maturation,"['CBFB', 'GLI2', 'IHH', 'HDAC4']",4
RUNX2 regulates genes involved in cell migration,"['CBFB', 'ITGA5', 'MMP13', 'ITGBL1']",4
RUNX2 regulates genes involved in differentiation of myeloid cells,"['RUNX1', 'CBFB', 'LGALS3']",3
Transcriptional regulation by RUNX3,"['JAG1', 'ZFHX3', 'CCND1', 'RUNX1', 'RUNX3', 'CBFB', 'CDKN1A', 'CDKN2A', 'CREBBP', 'CCN2', 'CTNNB1', 'EP300', 'FOXO3', 'HES1', 'RBPJ', 'KRAS', 'SMAD3', 'SMAD4', 'MDM2', 'MYC', 'NOTCH1', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'BRD2', 'SPP1', 'SRC', 'TEAD1', 'TEAD4', 'TEAD3', 'TGFB1', 'TP53', 'SEM1', 'TEAD2', 'PSMF1', 'HDAC4', 'PSMD6', 'BCL2L11', 'PSME3', 'PSMD14', 'YAP1', 'SNW1', 'WWTR1']",77
Regulation of RUNX3 expression and activity,"['RUNX3', 'CBFB', 'CDKN2A', 'EP300', 'MDM2', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'SRC', 'TGFB1', 'SEM1', 'PSMF1', 'PSMD6', 'PSME3', 'PSMD14']",49
RUNX3 regulates CDKN1A transcription,"['ZFHX3', 'RUNX3', 'CDKN1A', 'SMAD3', 'SMAD4', 'TGFB1', 'TP53']",7
RUNX3 Regulates Immune Response and Cell Migration,"['RUNX3', 'CBFB', 'SPP1']",3
RUNX3 regulates RUNX1-mediated transcription,"['RUNX3', 'CBFB']",2
RUNX3 regulates p14-ARF,"['CCND1', 'RUNX1', 'RUNX3', 'CBFB', 'EP300', 'KRAS', 'BRD2', 'TGFB1', 'HDAC4']",9
RUNX3 regulates BCL2L11 (BIM) transcription,"['RUNX3', 'FOXO3', 'SMAD3', 'SMAD4', 'BCL2L11']",5
Transcriptional Regulation by E2F6,"['APAF1', 'BRCA1', 'CHEK1', 'E2F1', 'E2F6', 'EZH2', 'MAX', 'RAD51', 'RBBP4', 'RBBP8', 'RING1', 'RRM2', 'TFDP1', 'TFDP2', 'CDC7', 'UXT', 'EED', 'YAF2', 'EHMT2', 'CBX3', 'MGA', 'RYBP', 'CBX5', 'SUZ12', 'EHMT1', 'EPC1', 'L3MBTL2', 'PCGF6']",28
RNA Polymerase II Pre-transcription Events,"['CCNH', 'CDK7', 'CDK9', 'ERCC2', 'ERCC3', 'GTF2A1', 'GTF2A2', 'GTF2B', 'GTF2E1', 'GTF2E2', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'MLLT1', 'MLLT3', 'MNAT1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'SSRP1', 'SUPT4H1', 'SUPT5H', 'SUPT6H', 'TAF2', 'TAF4', 'TAF4B', 'TAF5', 'TAF6', 'TAF9', 'TAF10', 'TAF11', 'TAF12', 'TAF13', 'TBP', 'TCEA1', 'ELOC', 'ELOB', 'NELFA', 'NELFE', 'TAF15', 'ELL', 'CTDP1', 'CTR9', 'SUPT16H', 'RTF1', 'NELFB', 'AFF4', 'NELFCD', 'TAF9B', 'PAF1', 'IWS1', 'EAF2', 'CDC73', 'WDR61', 'TAF3', 'EAF1', 'LEO1', 'GTF2H5']",70
RNA Polymerase II Transcription Elongation,"['CCNH', 'CDK7', 'CDK9', 'ERCC2', 'ERCC3', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'MLLT1', 'MLLT3', 'MNAT1', 'NCBP1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'SSRP1', 'SUPT4H1', 'SUPT5H', 'SUPT6H', 'TCEA1', 'ELOC', 'ELOB', 'NELFA', 'NELFE', 'ELL', 'CTDP1', 'CTR9', 'SUPT16H', 'NCBP2', 'RTF1', 'NELFB', 'AFF4', 'NELFCD', 'PAF1', 'IWS1', 'EAF2', 'CDC73', 'WDR61', 'EAF1', 'LEO1', 'GTF2H5']",51
Formation of RNA Pol II elongation complex,"['CCNH', 'CDK7', 'CDK9', 'ERCC2', 'ERCC3', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'MLLT1', 'MLLT3', 'MNAT1', 'NCBP1', 'SSRP1', 'SUPT4H1', 'SUPT5H', 'SUPT6H', 'TCEA1', 'ELOC', 'ELOB', 'NELFA', 'NELFE', 'ELL', 'CTDP1', 'CTR9', 'SUPT16H', 'NCBP2', 'RTF1', 'NELFB', 'AFF4', 'NELFCD', 'PAF1', 'IWS1', 'EAF2', 'CDC73', 'WDR61', 'EAF1', 'LEO1', 'GTF2H5']",39
Immune System,"['AAMP', 'ABL1', 'ADAR', 'AP1B1', 'AP2B1', 'AP1G1', 'AGER', 'AKT2', 'ANXA2', 'BIRC2', 'BIRC3', 'APOB', 'FASLG', 'ARF1', 'ART1', 'ATF1', 'ATOX1', 'ATP6V0B', 'ATP7A', 'B2M', 'CFB', 'POLR3D', 'BPI', 'BRAF', 'BST2', 'BTK', 'BTN1A1', 'SERPING1', 'C1QA', 'C1QB', 'C1QC', 'C1R', 'C1S', 'C2', 'C3', 'C3AR1', 'C4B', 'C4BPA', 'C4BPB', 'C5', 'C5AR1', 'C6', 'C7', 'C8A', 'C8B', 'C8G', 'C9', 'CA1', 'CALM3', 'CALR', 'CAMP', 'CANX', 'CAPZA1', 'CASP1', 'CASP3', 'CASP8', 'CASP10', 'CBL', 'CD3D', 'CD3E', 'CD3G', 'CD4', 'CD8A', 'CD8B', 'CD14', 'CD19', 'CD22', 'CD27', 'CD28', 'CD80', 'CD86', 'TNFRSF8', 'TNFSF8', 'CD36', 'CD40LG', 'CD59', 'CD70', 'CD74', 'CD79A', 'CD79B', 'CD81', 'CDC42', 'CDH1', 'CFL1', 'CHUK', 'AP2M1', 'AP2S1', 'CLU', 'CLTA', 'CLTC', 'CCR6', 'CNN2', 'CNTF', 'CNTFR', 'MAP3K8', 'CR1', 'CR2', 'CREB1', 'ATF2', 'CRK', 'CSF1', 'CSF1R', 'CSF2', 'CSF2RA', 'CSF2RB', 'CSF3', 'CSF3R', 'CSK', 'CTF1', 'CTLA4', 'CTNNB1', 'CTSG', 'CXADR', 'CYBA', 'CYBB', 'CYLD', 'CD55', 'DHX9', 'DEFA3', 'DEFA4', 'DEFA5', 'DEFA6', 'DOCK1', 'DUSP3', 'EDA', 'EGR1', 'ELK1', 'PTK2B', 'FCER1A', 'MS4A2', 'FCER1G', 'FCGR1A', 'FCGR2A', 'FCGR3A', 'FKBP1A', 'FLNA', 'FLNB', 'FLT3', 'FLT3LG', 'FOS', 'MTOR', 'FYB1', 'FYN', 'IFI6', 'XRCC6', 'GATA3', 'GBP2', 'GHR', 'GRB2', 'RAPGEF1', 'PDIA3', 'GSTA2', 'HCK', 'NCKAP1L', 'CFH', 'CFHR1', 'CFHR2', 'HGF', 'HLA-A', 'HLA-DMB', 'HLA-E', 'HLA-G', 'HMGB1', 'HMOX1', 'HNRNPA2B1', 'HNRNPF', 'HSPA9', 'HSP90AB1', 'ICAM2', 'ICAM3', 'CFI', 'IFI16', 'IFI27', 'IFI35', 'IFIT2', 'IFIT1', 'IFIT3', 'IFNAR1', 'IFNB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'IKBKB', 'IL1B', 'IL1R1', 'IL1RN', 'IL2', 'IL2RA', 'IL2RB', 'IL2RG', 'IL3', 'IL3RA', 'IL4', 'IL4R', 'IL5', 'IL5RA', 'IL6', 'IL6R', 'IL6ST', 'IL7', 'IL7R', 'IL9', 'IL9R', 'IL10', 'IL10RA', 'IL10RB', 'IL11', 'IL11RA', 'IL12A', 'IL12B', 'IL12RB1', 'IL12RB2', 'IL13', 'IL13RA1', 'IL13RA2', 'IL15', 'IL15RA', 'IL16', 'TNFRSF9', 'IL17A', 'IL18', 'INPP5D', 'IRAK1', 'IRAK2', 'IRF3', 'IRF7', 'ISG20', 'ITGA4', 'ITGAL', 'ITGAM', 'ITGB1', 'ITGB2', 'ITGB7', 'ITK', 'JAK1', 'JAK2', 'JAK3', 'JUN', 'KIR2DL1', 'KIR2DL4', 'KIR2DS1', 'KIR2DS4', 'KIR2DS5', 'KIR3DL1', 'KIR3DL2', 'KIR3DS1', 'KLRB1', 'KLRC1', 'KLRC2', 'KLRD1', 'LAG3', 'LAIR1', 'LAIR2', 'LBP', 'LCK', 'LCN2', 'LCP1', 'LCP2', 'LGALS9', 'LIF', 'LIFR', 'LIMK1', 'LMNB1', 'LNPEP', 'LPO', 'LTA', 'LTBR', 'LTF', 'CD180', 'LYN', 'LYZ', 'SMAD3', 'MAOA', 'MARK3', 'CD46', 'MEFV', 'MAP3K1', 'MAP3K3', 'CIITA', 'CD99', 'MIF', 'MAP3K11', 'CD200', 'MPO', 'MRE11', 'MSN', 'MT2A', 'MTAP', 'MYD88', 'MYO10', 'NCF2', 'NCF4', 'NCK1', 'NEDD4', 'NF1', 'NF2', 'NFKB1', 'NFKB2', 'NFKBIA', 'NFKBIE', 'NUP88', 'OAS1', 'OAS2', 'OAS3', 'TNFRSF11B', 'OSM', 'P2RX7', 'P4HB', 'PEBP1', 'SERPINB2', 'PAK1', 'PAK2', 'PAK3', 'REG3A', 'PCBP2', 'PDCD1', 'PDE3B', 'PDPK1', 'PHB', 'PIK3C3', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIN1', 'PITPNA', 'PLA2G2A', 'PLCG1', 'PLCG2', 'PML', 'POLR2E', 'POLR2F', 'POLR2H', 'POLR2K', 'POLR2L', 'PPIA', 'PPL', 'PPM1B', 'PPP2R5D', 'PPP3R1', 'PPP5C', 'PRKACA', 'PRKCB', 'PRKCD', 'PRKCQ', 'PRKDC', 'MAPK1', 'MAPK3', 'MAPK7', 'MAPK8', 'MAP2K1', 'MAP2K2', 'MAP2K6', 'MAP2K7', 'PRLR', 'PROS1', 'LGMN', 'MASP1', 'PRTN3', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'PTAFR', 'PTEN', 'PTGS2', 'PTPN1', 'PTPN4', 'PTPN6', 'PTPN11', 'PTPRZ1', 'PVR', 'NECTIN2', 'RAC1', 'RAC2', 'RAF1', 'RAG1', 'RAG2', 'RALA', 'RANBP2', 'RAP1B', 'REL', 'RELA', 'RELB', 'RNASEL', 'ABCE1', 'RPLP0', 'S100A1', 'S100A8', 'S100A9', 'S100B', 'SDC1', 'SEC13', 'SELL', 'SEMG1', 'MAP2K4', 'SH3GL2', 'SHC1', 'SKP1', 'SLC11A1', 'SMARCA4', 'SNRPA1', 'SOD1', 'SOD2', 'SOS1', 'SP100', 'SPTBN2', 'TRIM21', 'STAT1', 'STAT2', 'STAT3', 'STAT4', 'STAT6', 'STIM1', 'STX1A', 'STX3', 'STX4', 'VAMP7', 'SYK', 'ADAM17', 'MAP3K7', 'TALDO1', 'TAP1', 'TAP2', 'TAPBP', 'TCP1', 'TEC', 'THOP1', 'TLR1', 'TLR2', 'TLR3', 'TLR4', 'TLR5', 'TNF', 'TNFAIP3', 'TNFRSF1B', 'TPR', 'HSP90B1', 'TRAF2', 'TRAF3', 'TRAF6', 'TRPC1', 'TNFSF4', 'TNFRSF4', 'TXN', 'TYK2', 'TYROBP', 'UBA7', 'UBE2N', 'SUMO1', 'VAV1', 'VCAM1', 'VTN', 'WAS', 'LAT2', 'XDH', 'XRCC5', 'YWHAB', 'YWHAZ', 'ZAP70', 'IL1R2', 'RAB7A', 'SEM1', 'NUP214', 'AAAS', 'BRAP', 'PLA2G6', 'EEA1', 'CUL3', 'CUL1', 'RAE1', 'IKBKG', 'IFITM1', 'PIAS1', 'TNFSF11', 'OASL', 'LAMTOR3', 'SOCS1', 'PEA15', 'TNFRSF25', 'RIPK1', 'TNFSF13', 'TNFSF9', 'TNFRSF14', 'RIPK2', 'TNFRSF6B', 'FADD', 'SNAP23', 'TNFRSF18', 'TNFRSF11A', 'IL18RAP', 'IL1RL2', 'IL18R1', 'KSR1', 'SQSTM1', 'TAX1BP1', 'BCL10', 'BTRC', 'PGLYRP1', 'TNFSF18', 'MAP3K14', 'SOCS3', 'UBA3', 'UBE2M', 'AIP', 'PSTPIP1', 'ATG12', 'IL1RL1', 'OSMR', 'LRRFIP1', 'IL32', 'CRLF1', 'UBE2L6', 'RPS6KA5', 'MAPKAPK2', 'ATP6V1F', 'CD101', 'GRAP2', 'NCR2', 'NCR1', 'GSTO1', 'AIM2', 'LY86', 'IL27RA', 'EIF4E2', 'ATG5', 'PSMF1', 'POLR1C', 'SEC22B', 'NUP155', 'ISG15', 'NUP93', 'GAB2', 'PSMD6', 'TNFSF15', 'NUP153', 'CLEC2B', 'RBX1', 'HNRNPDL', 'TANK', 'IL18BP', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'EBI3', 'PSME3', 'PSMD14', 'KLRG1', 'CD96', 'SIRPB1', 'TLR6', 'IRF9', 'BTN2A2', 'NOD1', 'IFITM3', 'IFI30', 'TAB1', 'BAIAP2', 'CLEC10A', 'SEC23A', 'ARPC1A', 'GNLY', 'IFITM2', 'COLEC10', 'POLR3F', 'POLR3C', 'TXNIP', 'CD226', 'TNFSF13B', 'CNPY3', 'NUP50', 'AHCYL1', 'NCKAP1', 'HCST', 'CFHR4', 'CFHR3', 'MALT1', 'SUGT1', 'EDAR', 'SEC61B', 'IL24', 'RIPK3', 'NUP42', 'BTN2A1', 'CD160', 'POLR3A', 'IL1RAPL1', 'IRAK3', 'USP18', 'TREX1', 'NLRP1', 'SEC31A', 'RAP1GAP2', 'TAB2', 'NUP205', 'PSME4', 'DTX4', 'NUP210', 'NUP160', 'FBXW11', 'ICOSLG', 'SEC61G', 'NUP188', 'CLCF1', 'DDX58', 'CLEC5A', 'NUP62', 'LY96', 'IL17RA', 'PANX1', 'SAMHD1', 'TKFC', 'PTPN22', 'CLEC4E', 'IL36RN', 'LAT', 'DAPP1', 'IL37', 'IL17C', 'C5AR2', 'PDCD4', 'CRCP', 'LAMTOR2', 'PYCARD', 'TBK1', 'CLEC2D', 'BLNK', 'IL19', 'PILRA', 'SH3KBP1', 'CD209', 'PIK3R4', 'IL20', 'IL21R', 'IL22', 'TRAT1', 'CLEC4A', 'POLR1D', 'SAR1B', 'IRAK4', 'HERC5', 'VRK3', 'PDZD11', 'TLR7', 'ECSIT', 'TLR8', 'TNFRSF12A', 'KLRF1', 'ATP6V1D', 'DDX41', 'IP6K2', 'IL23A', 'ATP6V1H', 'POLR3K', 'NUP54', 'IL20RA', 'IL20RB', 'BRWD1', 'TLR9', 'TREM2', 'TREM1', 'TOLLIP', 'RNF216', 'XAF1', 'IL17RD', 'RNF125', 'IL17RB', 'OTUD5', 'ITLN1', 'PRR5', 'POLR3B', 'NDC1', 'POLR3E', 'NUP133', 'IL26', 'PAG1', 'BRK1', 'BTNL2', 'CRTAM', 'PGLYRP4', 'NUP107', 'MAVS', 'SLAMF7', 'NLRC4', 'IL22RA1', 'IL21', 'SIGIRR', 'EDA2R', 'CRLF2', 'NOD2', 'IFIH1', 'RBSN', 'CARD9', 'MLST8', 'CLEC7A', 'IL25', 'COLEC11', 'NUP37', 'MAPKAP1', 'DHX58', 'TNIP2', 'NLRX1', 'NUP85', 'BTNL8', 'SIKE1', 'ALPK1', 'ORAI2', 'ZBP1', 'CFHR5', 'UNC93B1', 'TLR10', 'RILP', 'ITCH', 'KBTBD7', 'NLRC5', 'WDR83', 'HVCN1', 'CARD11', 'IL1F10', 'IL17RC', 'HAVCR2', 'ORAI1', 'TSLP', 'IL33', 'RSAD2', 'TIFA', 'CLEC6A', 'IL17F', 'NLRP3', 'TIRAP', 'PGLYRP2', 'PGLYRP3', 'SLAMF6', 'OSBPL1A', 'CGAS', 'TNFRSF13C', 'IL22RA2', 'LEAP2', 'DCD', 'PIK3AP1', 'JAML', 'PSMB11', 'CD300LB', 'OSCAR', 'EDARADD', 'NUP35', 'CD200R1', 'IL17RE', 'IL31RA', 'PSMA8', 'IL34', 'NLRP4', 'TICAM1', 'IL23R', 'BTLA', 'PAQR3', 'BTNL9', 'env', 'SPRED1', 'IFNLR1', 'CLEC4C', 'DHX36', 'POLR3H', 'NLRC3', 'TXLNA', 'SPRED2', 'PDE12', 'IL27', 'RICTOR', 'NCR3', 'IFNL1', 'CLEC4D', 'TMEM173', 'CD300E', 'NUP43', 'NCR3LG1', 'IL31', 'TMEM189-UBE2V1', 'SPRED3', 'TNFSF12-TNFSF13', 'DEFB103A', 'NCF1', 'BOLA2B', 'DEFA1B', 'CCR2', 'fliC', 'NS1', 'KIR2DS2', 'C4B_2', 'TMED7-TICAM2', 'EPPIN-WFDC6', 'KLRC4-KLRK1']",829
Adaptive Immune System,"['AP1B1', 'AP2B1', 'AP1G1', 'ARF1', 'B2M', 'BTK', 'BTN1A1', 'C3', 'CALM3', 'CALR', 'CANX', 'CD3D', 'CD3E', 'CD3G', 'CD4', 'CD8A', 'CD8B', 'CD19', 'CD22', 'CD28', 'CD80', 'CD86', 'CD40LG', 'CD74', 'CD79A', 'CD79B', 'CD81', 'CDC42', 'CDH1', 'CHUK', 'AP2M1', 'AP2S1', 'CLTA', 'CLTC', 'MAP3K8', 'CSK', 'CTLA4', 'CXADR', 'CYBA', 'CYBB', 'FCGR1A', 'FKBP1A', 'MTOR', 'FYB1', 'FYN', 'PDIA3', 'HLA-A', 'HLA-DMB', 'HLA-E', 'HLA-G', 'IKBKB', 'INPP5D', 'ITGA4', 'ITGAL', 'ITGB1', 'ITGB2', 'ITGB7', 'ITK', 'KIR2DL1', 'KIR2DL4', 'KIR2DS1', 'KIR3DL1', 'KIR3DL2', 'KLRB1', 'KLRC1', 'KLRD1', 'LAG3', 'LAIR1', 'LAIR2', 'LCK', 'LCP2', 'LNPEP', 'LYN', 'CD99', 'CD200', 'MYD88', 'NCF2', 'NCF4', 'NCK1', 'NFKB1', 'NFKBIA', 'NFKBIE', 'PAK1', 'PAK2', 'PAK3', 'PDCD1', 'PDPK1', 'PIK3CA', 'PIK3CD', 'PIK3R1', 'PLCG1', 'PLCG2', 'PPIA', 'PPL', 'PPP3R1', 'PRKCB', 'PRKCQ', 'LGMN', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'PTEN', 'PTPN6', 'PTPN11', 'PVR', 'NECTIN2', 'RAC1', 'RAF1', 'REL', 'RELA', 'SEC13', 'SELL', 'SH3GL2', 'SKP1', 'SOS1', 'SPTBN2', 'STIM1', 'STX4', 'SYK', 'MAP3K7', 'TAP1', 'TAP2', 'TAPBP', 'THOP1', 'TRAF6', 'TRPC1', 'TYROBP', 'UBE2N', 'VAV1', 'VCAM1', 'WAS', 'XDH', 'ZAP70', 'RAB7A', 'SEM1', 'CUL1', 'IKBKG', 'IFITM1', 'TNFRSF14', 'RIPK2', 'SNAP23', 'BCL10', 'BTRC', 'MAP3K14', 'CD101', 'GRAP2', 'NCR1', 'PSMF1', 'SEC22B', 'PSMD6', 'CLEC2B', 'PSME3', 'PSMD14', 'KLRG1', 'CD96', 'BTN2A2', 'IFI30', 'SEC23A', 'CD226', 'AHCYL1', 'HCST', 'MALT1', 'SEC61B', 'BTN2A1', 'CD160', 'SEC31A', 'RAP1GAP2', 'TAB2', 'PSME4', 'FBXW11', 'ICOSLG', 'SEC61G', 'PTPN22', 'LAT', 'DAPP1', 'CLEC2D', 'BLNK', 'PILRA', 'SH3KBP1', 'CD209', 'TRAT1', 'SAR1B', 'KLRF1', 'PRR5', 'PAG1', 'BTNL2', 'CRTAM', 'SLAMF7', 'MLST8', 'MAPKAP1', 'BTNL8', 'ORAI2', 'RILP', 'CARD11', 'ORAI1', 'SLAMF6', 'OSBPL1A', 'PIK3AP1', 'JAML', 'PSMB11', 'OSCAR', 'CD200R1', 'PSMA8', 'BTLA', 'BTNL9', 'RICTOR', 'NCR3', 'NCR3LG1', 'TMEM189-UBE2V1', 'NCF1', 'KIR2DS2', 'KLRC4-KLRK1']",246
